TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SEASON_ID
1610612766,Charlotte Hornets,7,3,4,0.429,336.0,96.4,98.8,106.5,108.1,-10.1,-9.3,0.426,1.44,11.8,0.221,0.724,0.461,0.103,0.432,0.494,93.4,91.57,76.31,640,0.431,9,9,1,8,9,13,11,12,16,10,16,16,9,14,2,14,13,10,13,2015-16
1610612739,Cleveland Cavaliers,21,16,5,0.762,1008.0,112.5,114.6,103.5,105.2,9.0,9.5,0.554,1.7,16.8,0.307,0.745,0.528,0.137,0.544,0.573,93.0,91.4,76.17,1919,0.551,2,1,10,1,2,1,8,1,7,6,5,3,2,2,7,1,1,11,2,2015-16
1610612742,Dallas Mavericks,5,1,4,0.2,240.0,99.3,101.7,117.7,120.4,-18.4,-18.7,0.582,1.75,16.5,0.263,0.627,0.443,0.128,0.474,0.511,94.8,92.6,77.17,461,0.39,13,13,1,13,13,11,16,14,5,4,6,13,15,16,5,10,10,9,14,2015-16
1610612765,Detroit Pistons,4,0,4,0.0,192.0,107.4,109.2,115.8,119.3,-8.4,-10.1,0.604,2.07,18.4,0.243,0.701,0.481,0.121,0.537,0.559,88.9,86.88,72.4,348,0.474,15,15,1,15,15,5,15,13,4,1,1,15,11,12,3,2,3,16,9,2015-16
1610612744,Golden State Warriors,24,15,9,0.625,1157.0,108.4,109.7,102.1,105.1,6.3,4.5,0.624,1.74,17.9,0.275,0.676,0.482,0.143,0.529,0.562,99.8,97.83,81.52,2357,0.535,1,2,15,2,1,4,7,4,1,5,2,7,14,11,10,3,2,3,5,2015-16
1610612745,Houston Rockets,5,1,4,0.2,240.0,89.2,91.4,110.1,110.7,-20.9,-19.3,0.545,0.95,13.3,0.332,0.742,0.516,0.19,0.43,0.467,101.1,99.6,83.0,499,0.344,13,13,1,13,13,15,13,15,10,16,14,2,3,3,16,15,15,1,15,2015-16
1610612754,Indiana Pacers,7,3,4,0.429,336.0,103.4,103.8,99.0,101.9,4.4,1.9,0.55,1.26,15.2,0.268,0.62,0.46,0.16,0.495,0.549,92.0,90.43,75.36,632,0.538,9,9,1,8,9,8,4,6,9,12,10,11,16,15,14,7,6,14,3,2015-16
1610612746,LA Clippers,6,2,4,0.333,288.0,102.2,102.6,101.8,101.9,0.4,0.7,0.489,1.88,14.3,0.265,0.693,0.479,0.101,0.471,0.502,95.9,95.67,79.72,575,0.511,11,11,1,11,12,10,5,7,13,2,11,12,12,13,1,11,12,6,8,2015-16
1610612763,Memphis Grizzlies,4,0,4,0.0,192.0,89.3,89.3,111.9,113.2,-22.6,-23.9,0.516,1.06,13.5,0.3,0.733,0.492,0.171,0.423,0.455,91.4,90.88,75.73,363,0.328,15,15,1,15,15,16,14,16,12,15,13,6,7,8,15,16,16,12,16,2015-16
1610612748,Miami Heat,14,7,7,0.5,687.0,103.1,104.4,98.2,101.3,5.0,3.1,0.444,1.24,13.6,0.27,0.74,0.516,0.142,0.5,0.539,92.6,90.62,75.52,1299,0.538,5,5,13,5,5,7,3,5,15,13,12,10,4,4,9,6,7,13,4,2015-16
