off_rtg_diff,def_rtg_diff,net_rtg_diff,pace_diff,ts_pct_diff,w_pct_diff,ast_pct_diff,oreb_pct_diff,dreb_pct_diff,tov_pct_diff,efg_pct_diff,rest_diff,last15_win_diff,last15_pm_diff,home_court,home_win
4.799999999999997,-4.0,8.9,0.9699999999999989,0.03399999999999992,0.26899999999999996,0.11699999999999999,-0.014000000000000012,-0.0040000000000000036,0.0040000000000000036,0.03600000000000003,0.0,1.0,14.0,1,1
4.799999999999997,-4.0,8.9,0.9699999999999989,0.03399999999999992,0.26899999999999996,0.11699999999999999,-0.014000000000000012,-0.0040000000000000036,0.0040000000000000036,0.03600000000000003,0.0,0.0,-0.5,1,1
5.200000000000003,-0.10000000000000853,5.300000000000001,0.36999999999999034,0.028999999999999915,0.17099999999999993,0.049000000000000044,-0.023999999999999966,-0.029000000000000026,-0.007000000000000006,0.028000000000000025,-5.0,-0.33333333333333337,-8.5,1,0
5.200000000000003,-0.10000000000000853,5.300000000000001,0.36999999999999034,0.028999999999999915,0.17099999999999993,0.049000000000000044,-0.023999999999999966,-0.029000000000000026,-0.007000000000000006,0.028000000000000025,0.0,-0.4285714285714286,-8.542857142857143,1,1
5.200000000000003,-0.10000000000000853,5.300000000000001,0.36999999999999034,0.028999999999999915,0.17099999999999993,0.049000000000000044,-0.023999999999999966,-0.029000000000000026,-0.007000000000000006,0.028000000000000025,0.0,-0.15000000000000002,-0.7750000000000004,1,1
-1.8999999999999915,-3.0,1.1000000000000005,1.4299999999999926,0.005999999999999894,0.08599999999999997,0.08900000000000008,-0.046999999999999986,-0.014000000000000012,-0.0020000000000000018,0.007000000000000006,-1.0,-0.13333333333333341,-2.833333333333333,1,0
-1.8999999999999915,-3.0,1.1000000000000005,1.4299999999999926,0.005999999999999894,0.08599999999999997,0.08900000000000008,-0.046999999999999986,-0.014000000000000012,-0.0020000000000000018,0.007000000000000006,0.0,-0.2027972027972028,-3.86013986013986,1,0
-1.2000000000000028,-1.7000000000000028,0.6000000000000001,-1.8000000000000114,0.02100000000000002,0.0,0.04700000000000004,-0.055999999999999966,-0.009000000000000008,0.013999999999999985,0.028000000000000025,-30.0,0.4666666666666667,8.583333333333334,1,1
-1.2000000000000028,-1.7000000000000028,0.6000000000000001,-1.8000000000000114,0.02100000000000002,0.0,0.04700000000000004,-0.055999999999999966,-0.009000000000000008,0.013999999999999985,0.028000000000000025,0.0,0.4666666666666667,6.666666666666666,1,1
-1.2000000000000028,-1.7000000000000028,0.6000000000000001,-1.8000000000000114,0.02100000000000002,0.0,0.04700000000000004,-0.055999999999999966,-0.009000000000000008,0.013999999999999985,0.028000000000000025,0.0,0.21666666666666667,4.016666666666667,1,1
-5.6000000000000085,-3.1000000000000085,-2.4,3.8100000000000023,-0.006000000000000005,-0.10999999999999999,0.07600000000000007,-0.05999999999999997,-0.04400000000000004,0.009000000000000008,-0.008000000000000007,0.0,-0.2666666666666666,-7.466666666666667,1,0
-5.6000000000000085,-3.1000000000000085,-2.4,3.8100000000000023,-0.006000000000000005,-0.10999999999999999,0.07600000000000007,-0.05999999999999997,-0.04400000000000004,0.009000000000000008,-0.008000000000000007,0.0,-0.33333333333333326,-8.733333333333333,1,0
-5.900000000000006,-3.5999999999999943,-2.4,-0.1799999999999926,-0.02299999999999991,-0.07399999999999995,0.04400000000000004,-0.0040000000000000036,0.0010000000000000009,0.017000000000000015,-0.02400000000000002,0.0,-0.39999999999999997,-9.166666666666668,1,1
-5.900000000000006,-3.5999999999999943,-2.4,-0.1799999999999926,-0.02299999999999991,-0.07399999999999995,0.04400000000000004,-0.0040000000000000036,0.0010000000000000009,0.017000000000000015,-0.02400000000000002,0.0,-0.2820512820512821,-5.435897435897436,1,1
-5.900000000000006,-3.5999999999999943,-2.4,-0.1799999999999926,-0.02299999999999991,-0.07399999999999995,0.04400000000000004,-0.0040000000000000036,0.0010000000000000009,0.017000000000000015,-0.02400000000000002,0.0,-0.19999999999999996,-2.066666666666667,1,0
4.099999999999994,4.299999999999997,-0.19999999999999973,2.3600000000000136,0.02199999999999991,0.0,0.04799999999999993,0.019999999999999962,0.0040000000000000036,0.0,0.015000000000000013,0.0,-0.16666666666666669,-5.766666666666667,1,1
4.099999999999994,4.299999999999997,-0.19999999999999973,2.3600000000000136,0.02199999999999991,0.0,0.04799999999999993,0.019999999999999962,0.0040000000000000036,0.0,0.015000000000000013,0.0,0.06666666666666671,0.3999999999999999,1,1
1.7999999999999972,5.099999999999994,-3.3,-1.4399999999999977,0.0020000000000000018,-0.1120000000000001,0.019000000000000017,0.006999999999999951,0.0050000000000000044,-0.009999999999999981,-0.0020000000000000018,0.0,0.06666666666666665,-0.06666666666666668,1,0
1.7999999999999972,5.099999999999994,-3.3,-1.4399999999999977,0.0020000000000000018,-0.1120000000000001,0.019000000000000017,0.006999999999999951,0.0050000000000000044,-0.009999999999999981,-0.0020000000000000018,0.0,0.0,-1.6666666666666667,1,1
1.7999999999999972,5.099999999999994,-3.3,-1.4399999999999977,0.0020000000000000018,-0.1120000000000001,0.019000000000000017,0.006999999999999951,0.0050000000000000044,-0.009999999999999981,-0.0020000000000000018,0.0,0.19999999999999996,-2.0,1,0
-2.200000000000003,1.3999999999999915,-3.5999999999999996,-4.1699999999999875,-0.01200000000000001,-0.07000000000000006,0.02200000000000002,0.014999999999999958,-0.013000000000000012,-0.0010000000000000009,-0.026999999999999913,0.0,-0.06666666666666665,-7.933333333333334,1,0
-2.200000000000003,1.3999999999999915,-3.5999999999999996,-4.1699999999999875,-0.01200000000000001,-0.07000000000000006,0.02200000000000002,0.014999999999999958,-0.013000000000000012,-0.0010000000000000009,-0.026999999999999913,0.0,-0.06666666666666665,-8.133333333333333,1,1
-2.200000000000003,1.3999999999999915,-3.5999999999999996,-4.1699999999999875,-0.01200000000000001,-0.07000000000000006,0.02200000000000002,0.014999999999999958,-0.013000000000000012,-0.0010000000000000009,-0.026999999999999913,0.0,-0.06666666666666665,-6.666666666666666,1,0
2.4000000000000057,5.299999999999997,-2.9,2.1400000000000006,-0.0030000000000000027,-0.122,-0.051000000000000045,-0.009000000000000008,-0.0040000000000000036,-0.028999999999999998,-0.0040000000000000036,0.0,0.0,-1.1333333333333337,1,1
2.4000000000000057,5.299999999999997,-2.9,2.1400000000000006,-0.0030000000000000027,-0.122,-0.051000000000000045,-0.009000000000000008,-0.0040000000000000036,-0.028999999999999998,-0.0040000000000000036,0.0,0.06666666666666671,-1.0666666666666664,1,0
-1.7999999999999972,4.800000000000011,-6.6000000000000005,2.4099999999999966,-0.02100000000000002,-0.19499999999999995,-0.07199999999999995,0.033999999999999975,-0.029000000000000026,-0.007000000000000006,-0.02499999999999991,0.0,-0.26666666666666666,-11.0,1,1
