pts_diff,fg_diff,fg3_diff,reb_diff,ast_diff,tov_diff,stl_diff,pm_diff,rest_diff,win_pct_diff,def_diff,home_court,home_win,SEASON_ID_home,TEAM_ABBREVIATION_home,TEAM_ABBREVIATION_away,predicted,correct,prob
-4.285714285714292,-0.03460238095238094,-0.03563571428571427,1.480952380952381,-6.5238095238095255,-2.442857142857143,-1.7000000000000002,-3.8095238095238093,0.0,-0.06190476190476191,4.285714285714292,1,0,42014,CLE,GSW,0,1,0.3838580964257571
4.285714285714292,0.03460238095238094,0.03563571428571427,-1.480952380952381,6.5238095238095255,2.442857142857143,1.7000000000000002,3.8095238095238093,0.0,0.06190476190476191,-4.285714285714292,1,1,42014,GSW,CLE,1,1,0.6193646275057947
-4.285714285714292,-0.03460238095238094,-0.03563571428571427,1.480952380952381,-6.5238095238095255,-2.442857142857143,-1.7000000000000002,-3.8095238095238093,0.0,-0.06190476190476191,4.285714285714292,1,0,42014,CLE,GSW,0,1,0.3838580964257571
-4.285714285714292,-0.03460238095238094,-0.03563571428571427,1.480952380952381,-6.5238095238095255,-2.442857142857143,-1.7000000000000002,-3.8095238095238093,0.0,-0.06190476190476191,4.285714285714292,1,1,42014,CLE,GSW,0,0,0.3838580964257571
4.285714285714292,0.03460238095238094,0.03563571428571427,-1.480952380952381,6.5238095238095255,2.442857142857143,1.7000000000000002,3.8095238095238093,0.0,0.06190476190476191,-4.285714285714292,1,0,42014,GSW,CLE,1,0,0.6193646275057947
4.285714285714292,0.03460238095238094,0.03563571428571427,-1.480952380952381,6.5238095238095255,2.442857142857143,1.7000000000000002,3.8095238095238093,0.0,0.06190476190476191,-4.285714285714292,1,1,42014,GSW,CLE,1,1,0.6193646275057947
-4.890756302520998,0.007364145658263321,0.033050420168067196,-0.08683473389355356,2.6414565826330545,-0.6218487394957997,-0.35294117647058876,10.280112044817926,-11.0,0.2324929971988795,4.890756302520998,1,1,42014,GSW,HOU,1,1,0.7622049635473306
1.0,-0.0113375,0.02427499999999999,3.4125000000000014,-5.8125,-0.4250000000000007,-2.2,4.1875,-12.0,0.19999999999999996,-1.0,1,1,42014,CLE,ATL,1,1,0.6876256706578264
4.890756302520998,-0.007364145658263321,-0.033050420168067196,0.08683473389355356,-2.6414565826330545,0.6218487394957997,0.35294117647058876,-10.280112044817926,0.0,-0.2324929971988795,-4.890756302520998,1,1,42014,HOU,GSW,0,0,0.24127702188918415
1.0,-0.0113375,0.02427499999999999,3.4125000000000014,-5.8125,-0.4250000000000007,-2.2,4.1875,0.0,0.19999999999999996,-1.0,1,1,42014,CLE,ATL,1,1,0.6863430772490996
